contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
1,cmichel,G-01,g,,0.9,2,0.45,191.4893617,USDC,191.49
1,cmichel,L-01,1,,1,1,1,570.2879954,USDC,570.29
1,cmichel,L-02,1,,0.81,3,0.27,153.9777588,USDC,153.98
1,cmichel,L-03,1,,0.9,2,0.45,256.6295979,USDC,256.63
1,cmichel,M-01,2,,2.43,3,0.81,461.9332763,USDC,461.93
1,cmichel,N-01,0,,0,0,0,0,USDC,0
2,cmichel,H-01,3,,10,1,10,1.873167808,ETH,3371.7
2,cmichel,H-02,3,,10,1,10,1.873167808,ETH,3371.7
2,cmichel,H-03,3,,10,1,10,1.873167808,ETH,3371.7
2,cmichel,H-04,3,,10,1,10,1.873167808,ETH,3371.7
2,cmichel,H-05,3,,6.561,5,1.3122,0.2457970797,ETH,442.43
2,cmichel,L-01,1,,1,1,1,0.1873167808,ETH,337.17
2,cmichel,L-02,1,,0.9,2,0.45,0.08429255135,ETH,151.73
2,cmichel,L-03,1,,1,1,1,0.1873167808,ETH,337.17
2,cmichel,L-04,1,,1,1,1,0.1873167808,ETH,337.17
2,cmichel,L-09,1,,1,1,1,0.1873167808,ETH,337.17
2,cmichel,M-01,2,,2.7,2,1.35,0.252877654,ETH,455.18
2,cmichel,M-05,2,,3,1,3,0.5619503423,ETH,1011.51
2,gpersoon,H-05,3,,6.561,5,1.3122,0.2457970797,ETH,442.43
2,gpersoon,L-05,1,,1,1,1,0.1873167808,ETH,337.17
2,gpersoon,L-06,1,,1,1,1,0.1873167808,ETH,337.17
2,gpersoon,L-08,1,,0.81,3,0.27,0.05057553081,ETH,91.04
2,gpersoon,L-12,1,,1,1,1,0.1873167808,ETH,337.17
2,gpersoon,G-06,g,,1,1,1,0.2941176471,ETH,529.41
2,janbro,H-05,3,,6.561,5,1.3122,0.2457970797,ETH,442.43
2,janbro,L-07,1,,1,1,1,0.1873167808,ETH,337.17
2,janbro,L-10,1,,1,1,1,0.1873167808,ETH,337.17
2,ncitron,H-05,3,,6.561,5,1.3122,0.2457970797,ETH,442.43
2,pauliax,H-08,3,,10,1,10,1.873167808,ETH,3371.7
2,pauliax,H-05,3,,6.561,5,1.3122,0.2457970797,ETH,442.43
2,pauliax,H-07,3,,8.1,3,2.7,0.5057553081,ETH,910.36
2,pauliax,L-02,1,,0.9,2,0.45,0.08429255135,ETH,151.73
2,pauliax,L-08,1,,0.81,3,0.27,0.05057553081,ETH,91.04
2,pauliax,M-02,2,,2.7,2,1.35,0.252877654,ETH,455.18
2,pauliax,N-01,0,,0,0,0,0,ETH,0
2,pauliax,N-02,0,,0,0,0,0,ETH,0
2,pauliax,G-01,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,pauliax,G-02,g,,1,1,1,0.2941176471,ETH,529.41
2,pauliax,G-03,g,,1,1,1,0.2941176471,ETH,529.41
2,pauliax,G-04,g,,1,1,1,0.2941176471,ETH,529.41
2,pauliax,G-05,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,0xRajeev,H-06,3,,10,1,10,1.873167808,ETH,3371.7
2,maurelian,H-07,3,,8.1,3,2.7,0.5057553081,ETH,910.36
2,maurelian,L-08,1,,0.81,3,0.27,0.05057553081,ETH,91.04
2,0xRajeev,L-11,1,,1,1,1,0.1873167808,ETH,337.17
2,0xRajeev,M-03,2,,3,1,3,0.5619503423,ETH,1011.51
2,0xRajeev,M-04,2,,3,1,3,0.5619503423,ETH,1011.51
2,maurelian,M-06,2,,3,1,3,0.5619503423,ETH,1011.51
2,maurelian,M-07,2,,3,1,3,0.5619503423,ETH,1011.51
2,0xRajeev,N-01,0,,0,0,0,0,ETH,0
2,maurelian,G-01,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,0xRajeev,G-05,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,s1m0,H-07,3,,8.1,3,2.7,0.5057553081,ETH,910.36
2,s1m0,M-01,2,,2.7,2,1.35,0.252877654,ETH,455.18
2,s1m0,M-02,2,,2.7,2,1.35,0.252877654,ETH,455.18
2,s1m0,G-07,g,,1,1,1,0.2941176471,ETH,529.41
233,volodya,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,volodya,H-01,3,1,7.560000000000001,3,2.7000000000000006,10063.001633799786,USDC,10063
233,volodya,Q-25,q,3,24.806246678492556,1,24.806246678492556,686.7310738368521,USDC,686.73
233,naman1778,G-13,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,bytes032,Q-26,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,bytes032,M-02,2,1,1.190959281,9,0.14348907000000002,534.7891651268192,USDC,534.79
233,neutiyoo,G-12,g,3,91,1,91,1122.6638938343517,USDC,1122.66
233,SpicyMeatball,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,Dug,Q-24,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,bughunter007,M-02,2,0.5,1.190959281,9,0.07174453500000001,267.3945825634096,USDC,267.39
233,bughunter007,Q-22,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,8olidity,M-02,2,0.5,1.190959281,9,0.07174453500000001,267.3945825634096,USDC,267.39
233,itsmeSTYJ,Q-23,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,rvierdiiev,M-02,2,1,1.190959281,9,0.14348907000000002,534.7891651268192,USDC,534.79
233,rvierdiiev,Q-19,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,ReyAdmirado,G-11,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,MiloTruck,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,MiloTruck,M-02,2,1,1.190959281,9,0.14348907000000002,534.7891651268192,USDC,534.79
233,ABA,M-02,2,2,1.190959281,9,0.18653579100000003,695.225914664865,USDC,695.23
233,ABA,Q-16,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,ihtishamsudo,Q-21,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,ihtishamsudo,G-08,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,0xWaitress,M-02,2,1,1.190959281,9,0.14348907000000002,534.7891651268192,USDC,534.79
233,0xWaitress,Q-20,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,Ruhum,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,Ruhum,Q-11,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,sashik_eth,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,sashik_eth,Q-17,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,ToonVH,M-02,2,1,1.190959281,9,0.14348907000000002,534.7891651268192,USDC,534.79
233,Haipls,Q-18,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,juancito,H-02,3,2,3.990431036700001,10,0.5036466357000001,1877.1099695951355,USDC,1877.11
233,juancito,M-02,2,1,1.190959281,9,0.14348907000000002,534.7891651268192,USDC,534.79
233,juancito,Q-06,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,RaymondFam,M-01,2,1,2.3510250000000004,4,0.5467500000000001,2037.7578308444563,USDC,2037.76
233,RaymondFam,Q-14,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,Co0nan,Q-15,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,clayj,G-10,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,bin2chen,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,said,Q-13,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,0xnev,Q-12,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,0xnev,G-05,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,tonisives,G-09,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,jasonxiale,Q-10,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,Aymen0909,G-07,g,2,140,2,70,863.5876106418091,USDC,863.59
233,Aymen0909,Q-09,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,QiuhaoLi,M-01,2,1,2.3510250000000004,4,0.5467500000000001,2037.7578308444563,USDC,2037.76
233,QiuhaoLi,Q-08,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,QiuhaoLi,G-06,g,2,140,2,70,863.5876106418091,USDC,863.59
233,evmboi32,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,0xTheC0der,H-01,3,2,7.560000000000001,3,3.510000000000001,13081.902123939723,USDC,13081.9
233,btk,Q-07,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,Cyfrin,M-01,2,2,2.3510250000000004,4,0.7107750000000002,2649.0851800977935,USDC,2649.09
233,Cyfrin,Q-04,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,niser93,G-04,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,niser93,Q-05,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,Josiah,M-01,2,1,2.3510250000000004,4,0.5467500000000001,2037.7578308444563,USDC,2037.76
233,Josiah,Q-03,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
233,pontifex,G-03,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,pontifex,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,turvy_fuzz,G-02,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,0xSmartContract,G-01,g,1,72.96452747268198,10,7.296452747268198,90.01608848820295,USDC,90.02
233,yjrwkk,H-02,3,1,3.990431036700001,10,0.3874204890000001,1443.9307458424119,USDC,1443.93
233,d3e4,Q-02,q,2,209.89901035647546,11,19.08172821422504,528.254672182194,USDC,528.25
233,windowhan001,H-01,3,0.5,7.560000000000001,3,1.3500000000000003,5031.500816899893,USDC,5031.5
233,libratus,Q-01,q,1,36.21134653333607,14,2.586524752381148,71.60482372564411,USDC,71.6
